"city","street","building","apartment"
"г.Якутск","Хатынг Юряхское шоссе 7 км.31/15 (31/13)","",""
"г.Якутск","Чиряева","5",""
"г.Якутск","Асямова","17А",""
"г.Якутск","Три Сосны","97/1",""
"г.Якутск","Бестужева-Марлинского","54",""
"г.Якутск","Центральная","13","1"
"г.Якутск","Покровский такт 7 км., СОТ «Стрелка -1» з/у. 88Д","",""
"г.Якутск","Улица 50 лет Советской Армии","48/1",""
"г.Якутск","Песчаная","24",""
"г.Якутск","СОПК Пламя, Хатынг-Юрях","",""
"г.Якутск","8 Марта","39",""
"г.Якутск","Хатын-Юряхское шоссе","Б20/2",""
"г.Якутск","Сергеляхское шоссе 10 км","21/3",""
"г.Якутск","Степная","56",""
"г.Якутск","Петра Алексеева","72 Г, г-ж107",""
"г.Якутск","Рыдзинского","21",""
"г.Якутск","Котенко","12/10",""
"г.Якутск","Рассветная","45/1",""
"г.Якутск","Гризодубовой","4",""
"г.Якутск","пер. Хоринский","19",""
"г.Якутск","Хатын-Юряхское шоссе Н-38/1","",""
"г.Якутск","Б.Марлинского","56",""
"г.Якутск","Намский тракт 13 км., СОНТ Сатал, кв.9, уч.264","",""
"г.Якутск","Покровское шоссе 10 км., Речная школа","45/11",""
"г.Якутск","Пригородный Озерная","113",""
"г.Якутск","Чаранский пр.2 (д. уч. 133)","",""
"г.Якутск","Студенческая","9А",""
"г.Якутск","Чернышевского","104",""
"г.Якутск","Красильникова 9Д, бокс 26, ГСК «Геодезист","",""
"г.Якутск","Красильникова 9Д, бокс 28, ГСК «Геодезист","",""
"г.Якутск","Сергеляхское поле, СОТ «Ручеек» Н-1 (14:36:107045:21)","",""
"г.Якутск","Лонгинова","75",""
"г.Якутск","Транспортная","7",""
"г.Якутск","Кольцевая","52/1",""
"г.Якутск","Курнатовского","30",""
"г.Якутск","Автодорожная","40/4 гараж 12",""
"г.Якутск","Марха, Горная","1/1",""
"г.Якутск","Курнатовского","10",""
"г.Якутск","Гастелло","24",""
"г.Якутск","Т.Бутакова","64/3",""
"г.Якутск","Намский тр.15км., квартал 8,уч.177","",""
"г.Якутск","СОНТ Сатал","36","6"
"г.Якутск","Сосновая","60",""
"г.Якутск","местность Сергелях, СОТ Незабудка","20",""
"с.Тулагино","Трофимовой","54/1А",""
"г.Якутск","ш.Сергеляхское шоссе 5км","д11/3Б",""
"г.Якутск","Сергеляхское шоссе 4 км","51",""
"г.Якутск","Покровский тр.10 км","1",""
"г.Якутск","Пригородный, Новая","25",""
"г.Якутск","Автодорожная","57/7, 57/7А",""
"п.Жатай","Водников","4/1",""
"г.Якутск","Сергеляхское поле","М8",""
"г.Якутск","Сергеляхское шоссе 6 км","30/1",""
"г.Якутск","Челюскина","37/4","1"
"г.Якутск","Ярославского","26","36"
"г.Якутск","Покрышкина","59/2",""
"г.Якутск","Советской Армии","56/1",""
"г.Якутск","Дачная","32А",""
"г.Якутск","Намский тр.14 км, СОНТ Сатал кв.1 уч.45","",""
"г.Якутск","СОТ ""Стрелка"" Покровский тракт 7 км","66",""
"г.Якутск","Сергеляхское поле","14",""
"г.Якутск","Автодорожная","59/3",""
"г.Якутск","Птицевод","172/8",""
"г.Якутск","Дежнева","41/3",""
"г.Якутск","Зеленая балка","9",""
"г.Якутск","Ушакова","29",""
"г.Якутск","Сергеляхское шоссе 5 км","9",""
"г.Якутск","Вилюйский тр., 5 км.","3/11",""
"г.Якутск","Намский тр. 13 км., СОТ Чолбон, 2 кв.уч.35","",""
"г.Якутск","ДСК Механизатор, Хатын Юряхское шоссе 7 км.","В-8",""
"г.Якутск","Челюскина","57/4",""
"г.Якутск","Старый покровский тр. КИЗ","60",""
"г.Якутск","Кычкина","5",""
"г.Якутск","Покровское шоссе 7 км.","69/12",""
"г.Якутск","с. Хатассы, Западная","27",""
"г.Якутск","Курнатовского","74/1",""
"г.Якутск","Кирсанова","21",""
"г.Якутск","Автодорожная","51/1",""
"г.Якутск","Покровский тр. СОТ Лена, Рубиновая","25",""
"г.Якутск","Набережная","11",""
"г.Якутск","Юшманова","7",""
"г.Якутск","Окружная дорога","88/6А",""
"г.Якутск","Окружная дорога","51/3А",""
"г.Якутск","Лонгинова","82/2",""
"г.Якутск","Сергеляхское шоссе 8 км.","3, ДСК Сайылык",""
"г.Якутск","Сергеляхское шоссе 12 км., СОТ Сокол","9/2",""
"г.Якутск","с. Пригородный, Молодежная","16А",""
"г.Якутск","Марха, Молодежный поселок, Маганский тр.2 км.","16/2в",""
"г.Якутск","Ново-Карьерная","31","5"
"г.Якутск","Неустроева","26/2",""
"г.Якутск","Автодорожная","36/9",""
"г.Якутск","ул. Окружная дорога","90/1",""
"г.Якутск","Ермолаева","24",""
"г.Якутск","Ивана Крафта","114",""
"г.Якутск","Сергеляхское поле","А3",""
"г.Якутск","сот ""Юннат"" ул. Птицевод","184/3",""
"г.Якутск","сот ""Мерзлотоведение"" сергелях","182Д",""
"г.Якутск","Окружная дорога","90/1",""
"г.Якутск","Покровский тракт 10км, сот ""Речевик""","56",""
"г.Якутск","Покровский тракт 11км, СОТ Сэргэ","18Д",""
